,source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
14610,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1098,Account Manipulation,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used the `sp_addlinkedsrvlogin` command in MS-SQL to create a link between a created account and other servers in the network."
14482,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1110,Brute Force,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used a script to attempt RPC authentication against a number of hosts."
10659,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1554,Compromise Client Software Binary,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used a trojanized version of Windows Notepad to add a layer of persistence for Industroyer."
29,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1136,Create Account,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team added a login to a SQL Server with `sp_addlinkedsrvlogin`."
9150,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1562.002,Disable Windows Event Logging,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team disabled event logging on compromised systems."
10393,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1136.002,Domain Account,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team created two new accounts, “admin” and “система” (System). The accounts were then assigned to a domain matching local operation and were delegated new privileges."
15601,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1003.001,LSASS Memory,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used Mimikatz to capture and use legitimate credentials."
11410,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1570,Lateral Tool Transfer,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used `move` to transfer files to a network share."
10246,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1036.008,Masquerade File Type,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team masqueraded executables as `.txt` files."
15338,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1036.005,Match Legitimate Name or Location,technique,"During the 2016 Ukraine Electric Power Attack, DLLs and EXEs with filenames associated with common electric power sector protocols were used to masquerade files."
5890,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1027,Obfuscated Files or Information,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used heavily obfuscated code with Industroyer in its Windows Notepad backdoor."
4316,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1059.001,PowerShell,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used PowerShell scripts to run a credential harvesting tool in memory to evade defenses."
39,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1018,Remote System Discovery,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team checked for connectivity to resources within the network and used LDAP to query Active Directory, discovering information about computers listed in AD."
7134,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1021.002,SMB/Windows Admin Shares,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team utilized `net use` to connect to network shares."
8773,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1505.001,SQL Stored Procedures,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used various MS-SQL stored procedures."
1856,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1027.002,Software Packing,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used UPX to pack a copy of Mimikatz."
6868,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1059.005,Visual Basic,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team created VBScripts to run on an SSH server."
13930,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1059.003,Windows Command Shell,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used the `xp_cmdshell` command in MS-SQL."
15366,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1047,Windows Management Instrumentation,technique,"During the 2016 Ukraine Electric Power Attack, WMI in scripts were used for remote execution and system surveys. "
