,ID,subtech_ID,Name,Description,tactics
0,T1548,,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,
1,,0.1,Bypass User Account Control,Many the malware samples can perform UAC bypass by using eventvwr.exe to execute a malicious file.,"Defense Evasion, Privilege Escalation"
2,,0.1,Bypass User Account Control,The malware can use a variant of the sysprep UAC bypass.,"Defense Evasion, Privilege Escalation"
3,,0.1,Bypass User Account Control,The malware can perform a UAC bypass if it is not executed with administrator rights or if the infected host runs Windows Vista or later.,"Defense Evasion, Privilege Escalation"
4,,0.1,Bypass User Account Control,The malware can use `sdclt.exe` to bypass UAC in Windows 10 to escalate privileges; for older Windows versions the malware can use the IFileOperation exploit to bypass the UAC module.,"Defense Evasion, Privilege Escalation"
5,,0.1,Bypass User Account Control,The malware contains many methods for bypassing Windows User Account Control on multiple versions of the operating system.,"Defense Evasion, Privilege Escalation"
6,,0.1,Bypass User Account Control,The malware has hijacked the cryptbase.dll within migwiz.exe to escalate privileges. This prevented the User Access Control window from appearing.,"Defense Evasion, Privilege Escalation"
7,,0.1,Bypass User Account Control,The malware attempts to disable UAC remote restrictions by modifying the Registry.,"Defense Evasion, Privilege Escalation"
8,,0.1,Bypass User Account Control,The malware contains UAC bypass code for both 32- and 64-bit systems.,"Defense Evasion, Privilege Escalation"
9,,0.1,Bypass User Account Control,The malware has attempted to bypass UAC using `fodhelper.exe` to escalate privileges.,"Defense Evasion, Privilege Escalation"
10,,0.1,Bypass User Account Control,"The malware contains a number of modules that can bypass UAC, including through Window's Device Manager, Manage Optional Features, and an image hijack on the `.msc` file extension.   ","Defense Evasion, Privilege Escalation"
11,,0.1,Bypass User Account Control,The malware has a command for UAC bypassing.,"Defense Evasion, Privilege Escalation"
12,,0.1,Bypass User Account Control,The malware can use the malware for privilege escalation.	,"Defense Evasion, Privilege Escalation"
13,,0.1,Bypass User Account Control,"The malware can attempt to run the program as admin, then show a fake error message and a legitimate UAC bypass prompt to the user in an attempt to socially engineer the user into escalating privileges.","Defense Evasion, Privilege Escalation"
